queue_type,priority,status,course,lesson_title,source_url,candidate_youtube_url,candidate_video_id,candidate_title,confidence,notes,transcription_media_id,transcription_status,transcription_segments,transcription_updated_at
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/10Sd3nrieJ1IZz0mSy8-cnTStFPD8JWMe/view,,10Sd3nrieJ1IZz0mSy8-cnTStFPD8JWMe,AD-NEUROPATIA6.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-10Sd3nrieJ1IZz0mSy8-cnTStFPD8JWMe,transcribed,22,2026-07-04T20:59:02Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1nXBoVTRUWN7uqd2dqsZQakP_NL143H-l/view,,1nXBoVTRUWN7uqd2dqsZQakP_NL143H-l,AD-NEUROPATIA7.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1nXBoVTRUWN7uqd2dqsZQakP_NL143H-l,transcribed,38,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1F4HITLorZt_RnV9fbREBfjcIgKeK6gR5/view,,1F4HITLorZt_RnV9fbREBfjcIgKeK6gR5,AD-SEXUALIDADE.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1F4HITLorZt_RnV9fbREBfjcIgKeK6gR5,transcribed,47,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/14WgYCX9kuzn7UAAP13rLwE-BUPYIb5xz/view,,14WgYCX9kuzn7UAAP13rLwE-BUPYIb5xz,AD-SEXUALIDADE3.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-14WgYCX9kuzn7UAAP13rLwE-BUPYIb5xz,transcribed_empty,,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/14kRZby319oh3Kr6okE-95DdGwta0s1uc/view,,14kRZby319oh3Kr6okE-95DdGwta0s1uc,AD-SEXUALIDADE4.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-14kRZby319oh3Kr6okE-95DdGwta0s1uc,transcribed,14,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1JtaLNYKiw9vEmBxZbo4AbnbjIwP4l-sR/view,,1JtaLNYKiw9vEmBxZbo4AbnbjIwP4l-sR,AD-ZUMBIDO.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1JtaLNYKiw9vEmBxZbo4AbnbjIwP4l-sR,transcribed,30,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/15QtEX9A1V-aEaJQwrVo9HJpkvSZcLv6m/view,,15QtEX9A1V-aEaJQwrVo9HJpkvSZcLv6m,AD02-SEXUALIDADE.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-15QtEX9A1V-aEaJQwrVo9HJpkvSZcLv6m,transcribed,11,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/13CSabGroJU1Qp_tpJn7gW521I1JK6HFh/view,,13CSabGroJU1Qp_tpJn7gW521I1JK6HFh,AD3-MATERNIDADE.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-13CSabGroJU1Qp_tpJn7gW521I1JK6HFh,transcribed,5,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1EObFlIw8GdMJEF2R7O2UUSmy0qdQCtU1/view,,1EObFlIw8GdMJEF2R7O2UUSmy0qdQCtU1,AD06-EMAGRECIMENTO.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1EObFlIw8GdMJEF2R7O2UUSmy0qdQCtU1,transcribed,44,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/156Zwee9qaiTOriVDVQKARlxUaKm0U-ff/view,,156Zwee9qaiTOriVDVQKARlxUaKm0U-ff,AD08-EMAGRECIMENTO.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-156Zwee9qaiTOriVDVQKARlxUaKm0U-ff,transcribed,17,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/193PAnN59o9FNBgwGD6Exd_Ky3-nEz6yd/view,,193PAnN59o9FNBgwGD6Exd_Ky3-nEz6yd,AD17.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-193PAnN59o9FNBgwGD6Exd_Ky3-nEz6yd,transcribed,80,2026-07-04T21:14:50Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1zBbS_3Z4dlLGn_mamolnbNPGJJwAf7Kh/view,,1zBbS_3Z4dlLGn_mamolnbNPGJJwAf7Kh,AD427.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1zBbS_3Z4dlLGn_mamolnbNPGJJwAf7Kh,transcribed,6,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1xtR4jkTagFj8bCz_-M_X3uquF9fWba_C/view,,1xtR4jkTagFj8bCz_-M_X3uquF9fWba_C,AD428.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1xtR4jkTagFj8bCz_-M_X3uquF9fWba_C,transcribed,11,2026-07-04T21:04:18Z
drive_video_asset,medium,needs_download_audio_extraction,Calls Exclusivas,Nutra nos EUA - Higor Neves - 12/12/2024,https://drive.google.com/file/d/1Z6ZfB9JY7dHWSCGsYfirJxDT48GjhCfz/view,,1Z6ZfB9JY7dHWSCGsYfirJxDT48GjhCfz,AD437.mp4,folder_html,Drive video asset found from Academy link; download/extract audio/transcribe in video pipeline.,academyvid-1Z6ZfB9JY7dHWSCGsYfirJxDT48GjhCfz,transcribed,11,2026-07-04T21:12:24Z
